fetched_at,rank,username,total_points
2026-04-25T13:04:35Z,32,MrChicken66666,58050407
2026-04-25T13:04:35Z,33,ArcticGalaxy209,56705392
2026-04-25T13:04:35Z,34,TealPlatypus757,55860586
2026-04-25T13:04:35Z,35,AgentP_4928,55592028
2026-04-25T13:04:35Z,36,ArcticGalaxy159,54570367
2026-04-25T13:04:35Z,37,TealPlatypus787,54339942
2026-04-25T13:04:35Z,38,TealPlatypus767,53474050
2026-04-25T13:04:35Z,39,Panthers_1995,52225825
2026-04-25T13:04:35Z,40,dragonballx1412,46679053
2026-04-25T13:04:35Z,41,WhereIsPerry10,46214150
2026-04-25T13:04:35Z,42,Bol2is,44643300
2026-04-25T13:04:35Z,43,Pay2Lose0,44205840
2026-04-25T13:04:35Z,44,Pay2Lose02,43281695
2026-04-25T13:04:35Z,45,Bader2007hero,42062002
2026-04-25T13:04:35Z,46,Sprintbooteralt,41572686
2026-04-25T13:04:35Z,47,Elsa1000_11,41168877
2026-04-25T13:04:35Z,48,EndOfAnEra007,40768772
2026-04-25T13:04:35Z,49,FORTINITEEEORLABUBAG,34565478
2026-04-25T13:04:35Z,50,Malmortius,33521540
2026-04-25T13:04:35Z,51,LawnMp3,15561429
2026-04-25T13:04:35Z,52,gbotgamer11,14525440
2026-04-25T13:04:35Z,53,SupaAnTz,13323144
2026-04-25T13:04:35Z,54,Drator477,12633195
2026-04-25T13:04:35Z,55,tycoonmasterou,10975975
2026-04-25T13:04:35Z,56,joshuacd2006,10248006
2026-04-25T13:04:35Z,57,sebastjan35,7287819
2026-04-25T13:04:35Z,58,ThisMiyo,0
2026-04-25T13:04:35Z,59,Darwinaknox,0
2026-04-25T13:04:35Z,60,mavilure,0
2026-04-25T13:04:35Z,61,mybananafarm1,0
2026-04-25T13:04:35Z,62,mybananafarm2,0
2026-04-25T12:59:36Z,1,Bol1is,114845657
2026-04-25T12:59:36Z,2,Yume_Sakurax3,93876951
2026-04-25T12:59:36Z,3,johnr622,90773119
2026-04-25T12:59:36Z,4,Sprintbooter,85780818
2026-04-25T12:59:36Z,5,jupiter0477,80405967
2026-04-25T12:59:36Z,6,PossiblyLlama,79626381
2026-04-25T12:59:36Z,7,EyeRockett,78816944
2026-04-25T12:59:36Z,8,WhereIsPerry0,77095934
2026-04-25T12:59:36Z,9,TealPlatypus747,76644677
2026-04-25T12:59:36Z,10,Mr_Suter,76137956
2026-04-25T12:59:36Z,11,ArcticGalaxy14,75448655
2026-04-25T12:59:36Z,12,Doobydoobydoo_bah,75164523
2026-04-25T12:59:36Z,13,DiscoGuy86,72283126
2026-04-25T12:59:36Z,14,ArcticGalaxy149,70949507
2026-04-25T12:59:36Z,15,Ilikecheesepuffs26,70549182
2026-04-25T12:59:36Z,16,PartyCorgi_70,69541594
2026-04-25T12:59:36Z,17,Panthers_1996,69102848
2026-04-25T12:59:36Z,18,Odierulz01,68854110
2026-04-25T12:59:36Z,19,ArcticGalaxy219,68612070
2026-04-25T12:59:36Z,20,AgentP_10928,68318429
2026-04-25T12:59:36Z,21,Josep_xD2,67727976
2026-04-25T12:59:36Z,22,ArcticGalaxy199,66991882
2026-04-25T12:59:36Z,23,ArcticGalaxy189,66516242
2026-04-25T12:59:36Z,24,ArcticGalaxy179,66012998
2026-04-25T12:59:36Z,25,WhereIsPerry20,65747399
2026-04-25T12:59:36Z,26,TealPlatypus777,65745484
2026-04-25T12:59:36Z,27,Agentp_3928,65503714
2026-04-25T12:59:36Z,28,AgentP_1928,65373577
2026-04-25T12:59:36Z,29,AgentP_2928,65337074
2026-04-25T12:59:36Z,30,AgentP_8928,60628031
2026-04-25T12:59:36Z,31,testbeeswS,60296171
2026-04-25T12:59:36Z,32,MrChicken66666,58050407
2026-04-25T12:59:36Z,33,ArcticGalaxy209,56705392
2026-04-25T12:59:36Z,34,TealPlatypus757,55860586
2026-04-25T12:59:36Z,35,AgentP_4928,55592028
2026-04-25T12:59:36Z,36,ArcticGalaxy159,54570367
2026-04-25T12:59:36Z,37,TealPlatypus787,54339942
2026-04-25T12:59:36Z,38,TealPlatypus767,53474050
2026-04-25T12:59:36Z,39,Panthers_1995,52225825
2026-04-25T12:59:36Z,40,dragonballx1412,46679053
2026-04-25T12:59:36Z,41,WhereIsPerry10,46214150
2026-04-25T12:59:36Z,42,Bol2is,44643300
2026-04-25T12:59:36Z,43,Pay2Lose0,44205840
2026-04-25T12:59:36Z,44,Pay2Lose02,43281695
2026-04-25T12:59:36Z,45,Bader2007hero,42062002
2026-04-25T12:59:36Z,46,Sprintbooteralt,41572686
2026-04-25T12:59:36Z,47,Elsa1000_11,41168877
2026-04-25T12:59:36Z,48,EndOfAnEra007,40768772
2026-04-25T12:59:36Z,49,FORTINITEEEORLABUBAG,34565478
2026-04-25T12:59:36Z,50,Malmortius,33521540
2026-04-25T12:59:36Z,51,LawnMp3,15561429
2026-04-25T12:59:36Z,52,gbotgamer11,14525440
2026-04-25T12:59:36Z,53,SupaAnTz,13323144
2026-04-25T12:59:36Z,54,Drator477,12633195
2026-04-25T12:59:36Z,55,tycoonmasterou,10975975
2026-04-25T12:59:36Z,56,joshuacd2006,10248006
2026-04-25T12:59:36Z,57,sebastjan35,7287819
2026-04-25T12:59:36Z,58,ThisMiyo,0
2026-04-25T12:59:36Z,59,Darwinaknox,0
2026-04-25T12:59:36Z,60,mavilure,0
2026-04-25T12:59:36Z,61,mybananafarm1,0
2026-04-25T12:59:36Z,62,mybananafarm2,0
2026-04-25T12:54:36Z,1,Bol1is,114845657
2026-04-25T12:54:36Z,2,Yume_Sakurax3,93876951
2026-04-25T12:54:36Z,3,johnr622,90773119
2026-04-25T12:54:36Z,4,Sprintbooter,85780818
2026-04-25T12:54:36Z,5,jupiter0477,80405967
2026-04-25T12:54:36Z,6,PossiblyLlama,79626381
2026-04-25T12:54:36Z,7,EyeRockett,78816944
2026-04-25T12:54:36Z,8,WhereIsPerry0,77095934
2026-04-25T12:54:36Z,9,TealPlatypus747,76644677
2026-04-25T12:54:36Z,10,Mr_Suter,76137956
2026-04-25T12:54:36Z,11,ArcticGalaxy14,75448655
2026-04-25T12:54:36Z,12,Doobydoobydoo_bah,75164523
2026-04-25T12:54:36Z,13,DiscoGuy86,72283126
2026-04-25T12:54:36Z,14,ArcticGalaxy149,70949507
2026-04-25T12:54:36Z,15,Ilikecheesepuffs26,70549182
2026-04-25T12:54:36Z,16,PartyCorgi_70,69541594
2026-04-25T12:54:36Z,17,Panthers_1996,69102848
2026-04-25T12:54:36Z,18,Odierulz01,68854110
2026-04-25T12:54:36Z,19,ArcticGalaxy219,68612070
2026-04-25T12:54:36Z,20,AgentP_10928,68318429
2026-04-25T12:54:36Z,21,Josep_xD2,67727976
2026-04-25T12:54:36Z,22,ArcticGalaxy199,66991882
2026-04-25T12:54:36Z,23,ArcticGalaxy189,66516242
2026-04-25T12:54:36Z,24,ArcticGalaxy179,66012998
2026-04-25T12:54:36Z,25,WhereIsPerry20,65747399
2026-04-25T12:54:36Z,26,TealPlatypus777,65745484
2026-04-25T12:54:36Z,27,Agentp_3928,65503714
2026-04-25T12:54:36Z,28,AgentP_1928,65373577
2026-04-25T12:54:36Z,29,AgentP_2928,65337074
2026-04-25T12:54:36Z,30,AgentP_8928,60628031
2026-04-25T12:54:36Z,31,testbeeswS,60296171
2026-04-25T12:54:36Z,32,MrChicken66666,58050407
2026-04-25T12:54:36Z,33,ArcticGalaxy209,56705392
2026-04-25T12:54:36Z,34,TealPlatypus757,55860586
2026-04-25T12:54:36Z,35,AgentP_4928,55592028
2026-04-25T12:54:36Z,36,ArcticGalaxy159,54570367
2026-04-25T12:54:36Z,37,TealPlatypus787,54339942
2026-04-25T12:54:36Z,38,TealPlatypus767,53474050
2026-04-25T12:54:36Z,39,Panthers_1995,52225825
2026-04-25T12:54:36Z,40,dragonballx1412,46679053
2026-04-25T12:54:36Z,41,WhereIsPerry10,46214150
2026-04-25T12:54:36Z,42,Bol2is,44643300
2026-04-25T12:54:36Z,43,Pay2Lose0,44205840
2026-04-25T12:54:36Z,44,Pay2Lose02,43281695
2026-04-25T12:54:36Z,45,Bader2007hero,42062002
2026-04-25T12:54:36Z,46,Sprintbooteralt,41572686
2026-04-25T12:54:36Z,47,Elsa1000_11,41168877
2026-04-25T12:54:36Z,48,EndOfAnEra007,40768772
2026-04-25T12:54:36Z,49,FORTINITEEEORLABUBAG,34565478
2026-04-25T12:54:36Z,50,Malmortius,33521540
2026-04-25T12:54:36Z,51,LawnMp3,15561429
2026-04-25T12:54:36Z,52,gbotgamer11,14525440
2026-04-25T12:54:36Z,53,SupaAnTz,13323144
2026-04-25T12:54:36Z,54,Drator477,12633195
2026-04-25T12:54:36Z,55,tycoonmasterou,10975975
2026-04-25T12:54:36Z,56,joshuacd2006,10248006
2026-04-25T12:54:36Z,57,sebastjan35,7287819
2026-04-25T12:54:36Z,58,ThisMiyo,0
2026-04-25T12:54:36Z,59,Darwinaknox,0
2026-04-25T12:54:36Z,60,mavilure,0
2026-04-25T12:54:36Z,61,mybananafarm1,0
2026-04-25T12:54:36Z,62,mybananafarm2,0
2026-04-25T12:49:36Z,1,Bol1is,114845657
2026-04-25T12:49:36Z,2,Yume_Sakurax3,93876951
2026-04-25T12:49:36Z,3,johnr622,90773119
2026-04-25T12:49:36Z,4,Sprintbooter,85780818
2026-04-25T12:49:36Z,5,jupiter0477,80405967
2026-04-25T12:49:36Z,6,PossiblyLlama,79626381
2026-04-25T12:49:36Z,7,EyeRockett,78816944
2026-04-25T12:49:36Z,8,WhereIsPerry0,77095934
2026-04-25T12:49:36Z,9,TealPlatypus747,76644677
2026-04-25T12:49:36Z,10,Mr_Suter,76137956
2026-04-25T12:49:36Z,11,ArcticGalaxy14,75448655
2026-04-25T12:49:36Z,12,Doobydoobydoo_bah,75164523
2026-04-25T12:49:36Z,13,DiscoGuy86,72283126
2026-04-25T12:49:36Z,14,ArcticGalaxy149,70949507
2026-04-25T12:49:36Z,15,Ilikecheesepuffs26,70549182
2026-04-25T12:49:36Z,16,PartyCorgi_70,69541594
2026-04-25T12:49:36Z,17,Panthers_1996,69102848
2026-04-25T12:49:36Z,18,Odierulz01,68854110
2026-04-25T12:49:36Z,19,ArcticGalaxy219,68612070
2026-04-25T12:49:36Z,20,AgentP_10928,68318429
2026-04-25T12:49:36Z,21,Josep_xD2,67727976
2026-04-25T12:49:36Z,22,ArcticGalaxy199,66991882
2026-04-25T12:49:36Z,23,ArcticGalaxy189,66516242
2026-04-25T12:49:36Z,24,ArcticGalaxy179,66012998
2026-04-25T12:49:36Z,25,WhereIsPerry20,65747399
2026-04-25T12:49:36Z,26,TealPlatypus777,65745484
2026-04-25T12:49:36Z,27,Agentp_3928,65503714
2026-04-25T12:49:36Z,28,AgentP_1928,65373577
2026-04-25T12:49:36Z,29,AgentP_2928,65337074
2026-04-25T12:49:36Z,30,AgentP_8928,60628031
2026-04-25T12:49:36Z,31,testbeeswS,60296171
2026-04-25T12:49:36Z,32,MrChicken66666,58050407
2026-04-25T12:49:36Z,33,ArcticGalaxy209,56705392
2026-04-25T12:49:36Z,34,TealPlatypus757,55860586
2026-04-25T12:49:36Z,35,AgentP_4928,55592028
2026-04-25T12:49:36Z,36,ArcticGalaxy159,54570367
2026-04-25T12:49:36Z,37,TealPlatypus787,54339942
2026-04-25T12:49:36Z,38,TealPlatypus767,53474050
2026-04-25T12:49:36Z,39,Panthers_1995,52225825
2026-04-25T12:49:36Z,40,dragonballx1412,46679053
2026-04-25T12:49:36Z,41,WhereIsPerry10,46214150
2026-04-25T12:49:36Z,42,Bol2is,44643300
2026-04-25T12:49:36Z,43,Pay2Lose0,44205840
2026-04-25T12:49:36Z,44,Pay2Lose02,43281695
2026-04-25T12:49:36Z,45,Bader2007hero,42062002
2026-04-25T12:49:36Z,46,Sprintbooteralt,41572686
2026-04-25T12:49:36Z,47,Elsa1000_11,41168877
2026-04-25T12:49:36Z,48,EndOfAnEra007,40768772
2026-04-25T12:49:36Z,49,FORTINITEEEORLABUBAG,34565478
2026-04-25T12:49:36Z,50,Malmortius,33521540
2026-04-25T12:49:36Z,51,LawnMp3,15561429
2026-04-25T12:49:36Z,52,gbotgamer11,14525440
2026-04-25T12:49:36Z,53,SupaAnTz,13323144
2026-04-25T12:49:36Z,54,Drator477,12633195
2026-04-25T12:49:36Z,55,tycoonmasterou,10975975
2026-04-25T12:49:36Z,56,joshuacd2006,10248006
2026-04-25T12:49:36Z,57,sebastjan35,7287819
2026-04-25T12:49:36Z,58,ThisMiyo,0
2026-04-25T12:49:36Z,59,Darwinaknox,0
2026-04-25T12:49:36Z,60,mavilure,0
2026-04-25T12:49:36Z,61,mybananafarm1,0
2026-04-25T12:49:36Z,62,mybananafarm2,0
2026-04-25T12:44:36Z,1,Bol1is,114845657
2026-04-25T12:44:36Z,2,Yume_Sakurax3,93876951
2026-04-25T12:44:36Z,3,johnr622,90773119
2026-04-25T12:44:36Z,4,Sprintbooter,85780818
2026-04-25T12:44:36Z,5,jupiter0477,80405967
2026-04-25T12:44:36Z,6,PossiblyLlama,79626381
2026-04-25T12:44:36Z,7,EyeRockett,78816944
2026-04-25T12:44:36Z,8,WhereIsPerry0,77095934
2026-04-25T12:44:36Z,9,TealPlatypus747,76644677
2026-04-25T12:44:36Z,10,Mr_Suter,76137956
2026-04-25T12:44:36Z,11,ArcticGalaxy14,75448655
2026-04-25T12:44:36Z,12,Doobydoobydoo_bah,75164523
2026-04-25T12:44:36Z,13,DiscoGuy86,72283126
2026-04-25T12:44:36Z,14,ArcticGalaxy149,70949507
2026-04-25T12:44:36Z,15,Ilikecheesepuffs26,70549182
2026-04-25T12:44:36Z,16,PartyCorgi_70,69541594
2026-04-25T12:44:36Z,17,Panthers_1996,69102848
2026-04-25T12:44:36Z,18,Odierulz01,68854110
2026-04-25T12:44:36Z,19,ArcticGalaxy219,68612070
2026-04-25T12:44:36Z,20,AgentP_10928,68318429
2026-04-25T12:44:36Z,21,Josep_xD2,67727976
2026-04-25T12:44:36Z,22,ArcticGalaxy199,66991882
2026-04-25T12:44:36Z,23,ArcticGalaxy189,66516242
2026-04-25T12:44:36Z,24,ArcticGalaxy179,66012998
2026-04-25T12:44:36Z,25,WhereIsPerry20,65747399
2026-04-25T12:44:36Z,26,TealPlatypus777,65745484
2026-04-25T12:44:36Z,27,Agentp_3928,65503714
2026-04-25T12:44:36Z,28,AgentP_1928,65373577
2026-04-25T12:44:36Z,29,AgentP_2928,65337074
2026-04-25T12:44:36Z,30,AgentP_8928,60628031
2026-04-25T12:44:36Z,31,testbeeswS,60296171
2026-04-25T12:44:36Z,32,MrChicken66666,58050407
2026-04-25T12:44:36Z,33,ArcticGalaxy209,56705392
2026-04-25T12:44:36Z,34,TealPlatypus757,55860586
2026-04-25T12:44:36Z,35,AgentP_4928,55592028
2026-04-25T12:44:36Z,36,ArcticGalaxy159,54570367
2026-04-25T12:44:36Z,37,TealPlatypus787,54339942
2026-04-25T12:44:36Z,38,TealPlatypus767,53474050
2026-04-25T12:44:36Z,39,Panthers_1995,52225825
2026-04-25T12:44:36Z,40,dragonballx1412,46679053
2026-04-25T12:44:36Z,41,WhereIsPerry10,46214150
2026-04-25T12:44:36Z,42,Bol2is,44643300
2026-04-25T12:44:36Z,43,Pay2Lose0,44205840
2026-04-25T12:44:36Z,44,Pay2Lose02,43281695
2026-04-25T12:44:36Z,45,Bader2007hero,42062002
2026-04-25T12:44:36Z,46,Sprintbooteralt,41572686
2026-04-25T12:44:36Z,47,Elsa1000_11,41168877
2026-04-25T12:44:36Z,48,EndOfAnEra007,40768772
2026-04-25T12:44:36Z,49,FORTINITEEEORLABUBAG,34565478
2026-04-25T12:44:36Z,50,Malmortius,33521540
2026-04-25T12:44:36Z,51,LawnMp3,15561429
2026-04-25T12:44:36Z,52,gbotgamer11,14525440
2026-04-25T12:44:36Z,53,SupaAnTz,13323144
2026-04-25T12:44:36Z,54,Drator477,12633195
2026-04-25T12:44:36Z,55,tycoonmasterou,10975975
2026-04-25T12:44:36Z,56,joshuacd2006,10248006
2026-04-25T12:44:36Z,57,sebastjan35,7287819
2026-04-25T12:44:36Z,58,ThisMiyo,0
2026-04-25T12:44:36Z,59,Darwinaknox,0
2026-04-25T12:44:36Z,60,mavilure,0
2026-04-25T12:44:36Z,61,mybananafarm1,0
2026-04-25T12:44:36Z,62,mybananafarm2,0
2026-04-25T12:39:36Z,1,Bol1is,114845657
2026-04-25T12:39:36Z,2,Yume_Sakurax3,93876951
2026-04-25T12:39:36Z,3,johnr622,90773119
2026-04-25T12:39:36Z,4,Sprintbooter,85780818
2026-04-25T12:39:36Z,5,jupiter0477,80405967
2026-04-25T12:39:36Z,6,PossiblyLlama,79626381
2026-04-25T12:39:36Z,7,EyeRockett,78816944
2026-04-25T12:39:36Z,8,WhereIsPerry0,77095934
2026-04-25T12:39:36Z,9,TealPlatypus747,76644677
2026-04-25T12:39:36Z,10,Mr_Suter,76137956
2026-04-25T12:39:36Z,11,ArcticGalaxy14,75448655
2026-04-25T12:39:36Z,12,Doobydoobydoo_bah,75164523
2026-04-25T12:39:36Z,13,DiscoGuy86,72283126
2026-04-25T12:39:36Z,14,ArcticGalaxy149,70949507
2026-04-25T12:39:36Z,15,Ilikecheesepuffs26,70549182
2026-04-25T12:39:36Z,16,PartyCorgi_70,69541594
2026-04-25T12:39:36Z,17,Panthers_1996,69102848
2026-04-25T12:39:36Z,18,Odierulz01,68854110
2026-04-25T12:39:36Z,19,ArcticGalaxy219,68612070
2026-04-25T12:39:36Z,20,AgentP_10928,68318429
2026-04-25T12:39:36Z,21,Josep_xD2,67727976
2026-04-25T12:39:36Z,22,ArcticGalaxy199,66991882
2026-04-25T12:39:36Z,23,ArcticGalaxy189,66516242
2026-04-25T12:39:36Z,24,ArcticGalaxy179,66012998
2026-04-25T12:39:36Z,25,WhereIsPerry20,65747399
2026-04-25T12:39:36Z,26,TealPlatypus777,65745484
2026-04-25T12:39:36Z,27,Agentp_3928,65503714
2026-04-25T12:39:36Z,28,AgentP_1928,65373577
2026-04-25T12:39:36Z,29,AgentP_2928,65337074
2026-04-25T12:39:36Z,30,AgentP_8928,60628031
2026-04-25T12:39:36Z,31,testbeeswS,60296171
2026-04-25T12:39:36Z,32,MrChicken66666,58050407
2026-04-25T12:39:36Z,33,ArcticGalaxy209,56705392
2026-04-25T12:39:36Z,34,TealPlatypus757,55860586
2026-04-25T12:39:36Z,35,AgentP_4928,55592028
2026-04-25T12:39:36Z,36,ArcticGalaxy159,54570367
2026-04-25T12:39:36Z,37,TealPlatypus787,54339942
2026-04-25T12:39:36Z,38,TealPlatypus767,53474050
2026-04-25T12:39:36Z,39,Panthers_1995,52225825
2026-04-25T12:39:36Z,40,dragonballx1412,46679053
2026-04-25T12:39:36Z,41,WhereIsPerry10,46214150
2026-04-25T12:39:36Z,42,Bol2is,44643300
2026-04-25T12:39:36Z,43,Pay2Lose0,44205840
2026-04-25T12:39:36Z,44,Pay2Lose02,43281695
2026-04-25T12:39:36Z,45,Bader2007hero,42062002
2026-04-25T12:39:36Z,46,Sprintbooteralt,41572686
2026-04-25T12:39:36Z,47,Elsa1000_11,41168877
2026-04-25T12:39:36Z,48,EndOfAnEra007,40768772
2026-04-25T12:39:36Z,49,FORTINITEEEORLABUBAG,34565478
2026-04-25T12:39:36Z,50,Malmortius,33521540
2026-04-25T12:39:36Z,51,LawnMp3,15561429
2026-04-25T12:39:36Z,52,gbotgamer11,14525440
2026-04-25T12:39:36Z,53,SupaAnTz,13323144
2026-04-25T12:39:36Z,54,Drator477,12633195
2026-04-25T12:39:36Z,55,tycoonmasterou,10975975
2026-04-25T12:39:36Z,56,joshuacd2006,10248006
2026-04-25T12:39:36Z,57,sebastjan35,7287819
2026-04-25T12:39:36Z,58,ThisMiyo,0
2026-04-25T12:39:36Z,59,Darwinaknox,0
2026-04-25T12:39:36Z,60,mavilure,0
2026-04-25T12:39:36Z,61,mybananafarm1,0
2026-04-25T12:39:36Z,62,mybananafarm2,0
2026-04-25T12:34:36Z,1,Bol1is,114845657
2026-04-25T12:34:36Z,2,Yume_Sakurax3,93876951
